,Year,ZipCode,Population,Poverty Count,Poverty Rate,Family Poverty Count,Median Household Income,Per Capita Income,Median Home Value,PC
0,2014,95608,60729.0,8301.0,13.67,1476.0,55256.0,34606.0,304200.0,229.0
1,2014,95610,43572.0,7174.0,16.46,1136.0,50536.0,25288.0,217100.0,2.0
2,2014,95621,41474.0,5842.0,14.09,1069.0,51827.0,24379.0,173700.0,10.0
3,2014,95624,63131.0,6848.0,10.85,1266.0,80233.0,29752.0,270400.0,
4,2014,95626,6335.0,792.0,12.5,182.0,60579.0,22576.0,193900.0,5.0
5,2014,95628,40767.0,4621.0,11.34,797.0,72739.0,37823.0,320500.0,77.0
6,2014,95630,73356.0,2933.0,4.0,351.0,100308.0,38465.0,394200.0,1.0
7,2014,95632,30064.0,5893.0,19.6,1099.0,61255.0,23946.0,216000.0,4.0
8,2014,95638,2047.0,83.0,4.05,15.0,91518.0,37688.0,338100.0,1.0
9,2014,95639,311.0,9.0,2.89,0.0,75556.0,20970.0,238900.0,1.0
10,2014,95641,1732.0,258.0,14.9,39.0,38750.0,24707.0,162500.0,7.0
11,2014,95655,4592.0,679.0,14.79,105.0,87738.0,28820.0,265300.0,7.0
12,2014,95660,33014.0,7728.0,23.41,1532.0,41615.0,16133.0,139900.0,270.0
13,2014,95662,31814.0,2740.0,8.61,434.0,65122.0,31719.0,262900.0,72.0
14,2014,95670,52886.0,8890.0,16.81,1710.0,55656.0,28636.0,219200.0,229.0
15,2014,95673,14773.0,2658.0,17.99,470.0,50854.0,21186.0,174700.0,60.0
16,2014,95683,6555.0,244.0,3.72,44.0,100139.0,49925.0,415300.0,4.0
17,2014,95690,1932.0,176.0,9.11,19.0,56101.0,32806.0,359300.0,2.0
18,2014,95693,5943.0,809.0,13.61,239.0,79121.0,35355.0,381900.0,3.0
19,2014,95742,9780.0,608.0,6.22,74.0,104167.0,32988.0,309900.0,20.0
20,2014,95758,62099.0,8070.0,13.0,1615.0,70003.0,28963.0,240100.0,
21,2014,95814,10076.0,2660.0,26.4,393.0,33373.0,29328.0,298600.0,
22,2014,95815,25772.0,10114.0,39.24,1817.0,29721.0,15247.0,113200.0,2.0
23,2014,95816,16845.0,2162.0,12.83,194.0,53002.0,44209.0,438500.0,
24,2014,95817,14472.0,4831.0,33.38,594.0,34845.0,22031.0,233800.0,
25,2014,95818,20135.0,4101.0,20.37,898.0,58272.0,49065.0,429200.0,
26,2014,95819,18374.0,1126.0,6.13,120.0,87156.0,47040.0,398800.0,
27,2014,95820,34529.0,9309.0,26.96,1648.0,40730.0,21744.0,158600.0,73.0
28,2014,95821,34439.0,9169.0,26.62,1714.0,38777.0,24133.0,245300.0,253.0
29,2014,95822,42907.0,10014.0,23.34,1796.0,44392.0,22192.0,220500.0,
30,2014,95823,73641.0,22276.0,30.25,4513.0,36731.0,15730.0,148500.0,233.0
31,2014,95824,29781.0,10923.0,36.68,2109.0,28447.0,12340.0,107300.0,133.0
32,2014,95825,31083.0,8522.0,27.42,1406.0,37382.0,25370.0,209900.0,265.0
33,2014,95826,38378.0,7711.0,20.09,1212.0,53648.0,25573.0,203500.0,115.0
34,2014,95827,20294.0,3227.0,15.9,571.0,50528.0,23236.0,176600.0,66.0
35,2014,95828,61490.0,13481.0,21.92,2372.0,45439.0,17633.0,154700.0,261.0
36,2014,95829,25786.0,3494.0,13.55,664.0,74530.0,26367.0,263600.0,58.0
37,2014,95830,762.0,103.0,13.52,17.0,56250.0,31668.0,443800.0,
38,2014,95831,41597.0,3143.0,7.56,567.0,68679.0,38296.0,329600.0,
39,2014,95832,11908.0,3410.0,28.64,521.0,42228.0,14001.0,160700.0,2.0
